ESG,ESRS impact,Maturity level,People current,People future,Process current,Process future,Policy current,Policy future
Environmental,Waste management ,3,Staff use predictive dashboards to detect trends in waste generation and take early action to prevent excess waste.,Staff use predictive dashboards to detect trends in waste generation and take early action to prevent excess waste.,"Predictive models forecast potential waste generation based on production schedules, process variability, and historical trends. Risks of overgeneration or disposal bottlenecks can be anticipated.","Predictive models forecast potential waste generation based on production schedules, process variability, and historical trends. Risks of overgeneration or disposal bottlenecks can be anticipated.","Predictive models are required in production and waste management planning, using data trends to forecast waste generation and support proactive reduction strategies.","Predictive models are required in production and waste management planning, using data trends to forecast waste generation and support proactive reduction strategies."
Environmental,Waste management ,4,Employees engage with prescriptive systems that recommend targeted segregation strategies and process improvements to reduce waste.,Employees engage with prescriptive systems that recommend targeted segregation strategies and process improvements to reduce waste.,"Systems recommend targeted process changes, improved material sorting, recycling strategies, or scheduling tweaks to minimize waste output and enhance diversion.","Systems recommend targeted process changes, improved material sorting, recycling strategies, or scheduling tweaks to minimize waste output and enhance diversion.","Prescriptive systems are mandated to support live segregation decision-making, guiding real-time waste handling and separation to optimise recycling and disposal.","Prescriptive systems are mandated to support live segregation decision-making, guiding real-time waste handling and separation to optimise recycling and disposal."
Environmental,Waste management ,5,"Employees participate in adaptive digital platforms to share insights and co-develop strategies for continuous waste reduction, supporting zero-waste goals.","Employees participate in adaptive digital platforms to share insights and co-develop strategies for continuous waste reduction, supporting zero-waste goals.","AI-driven systems continuously and autonomously optimize waste flows, recycling operations, and production processes to reduce waste generation in real time, minimizing environmental impact and disposal costs without manual intervention.","AI-driven systems continuously and autonomously optimize waste flows, recycling operations, and production processes to reduce waste generation in real time, minimizing environmental impact and disposal costs without manual intervention.","Policies require adaptive systems that manage waste automatically, using autonomous controls to reduce, segregate, and direct waste streams, with human intervention only for exceptions.","Policies require adaptive systems that manage waste automatically, using autonomous controls to reduce, segregate, and direct waste streams, with human intervention only for exceptions."
Environmental,Diversity & inclusion,,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. "
Environmental,Diversity & inclusion,1,"Awareness campaigns introduce digital tool accessibility features (visual, audio, tactile) and their potential benefits. Usage is minimal and not yet integrated into daily tasks.","Awareness campaigns introduce digital tool accessibility features (visual, audio, tactile) and their potential benefits. Usage is minimal and not yet integrated into daily tasks.","Digital tools are used only for basic onboarding or training content. Accessibility features are minimal or generic, offering limited support for diverse abilities.","Digital tools are used only for basic onboarding or training content. Accessibility features are minimal or generic, offering limited support for diverse abilities.","General inclusion policies exist, but they have no integration with digital systems or tools. Efforts are manual and lack operational alignment.","General inclusion policies exist, but they have no integration with digital systems or tools. Efforts are manual and lack operational alignment."
Social,Diversity & inclusion,2,Targeted training is provided to employees with diverse needs on how to use digital tools such as fault guides and instructional overlays adapted to specific disabilities.,Targeted training is provided to employees with diverse needs on how to use digital tools such as fault guides and instructional overlays adapted to specific disabilities.,"Digital tools provide accessible visual, audio, or tactile overlays for specific diagnostic or instructional tasks. Support is available for selected disabilities (e.g., hearing, vision, mobility) but not yet integrated across all operations.","Digital tools provide accessible visual, audio, or tactile overlays for specific diagnostic or instructional tasks. Support is available for selected disabilities (e.g., hearing, vision, mobility) but not yet integrated across all operations.","Policies require diagnostics of task inclusiveness and digital tool accessibility features, using digital tools to assess whether workflows and interfaces support diverse needs.","Policies require diagnostics of task inclusiveness and digital tool accessibility features, using digital tools to assess whether workflows and interfaces support diverse needs."
Social,Diversity & inclusion,3,"Employees with diverse needs use digital tool simulations to safely rehearse complex or high-risk tasks in virtual environments, building confidence and competence.","Employees with diverse needs use digital tool simulations to safely rehearse complex or high-risk tasks in virtual environments, building confidence and competence.","Digital tools allow employees to rehearse complex operations, supporting diverse learning styles and expanding inclusive participation in process improvement and optimization activities.","Digital tools allow employees to rehearse complex operations, supporting diverse learning styles and expanding inclusive participation in process improvement and optimization activities.","Policies require predictive reviews of workplace accessibility gaps, leveraging digital tools to anticipate and plan for inclusion challenges across roles and environments.","Policies require predictive reviews of workplace accessibility gaps, leveraging digital tools to anticipate and plan for inclusion challenges across roles and environments."
Social,Diversity & inclusion,4,"Employees collaborate with prescriptive digital tools that deliver tailored, real-time instructions using accessibility features (e.g., voice guidance, gaze-based navigation, haptic feedback).","Employees collaborate with prescriptive digital tools that deliver tailored, real-time instructions using accessibility features (e.g., voice guidance, gaze-based navigation, haptic feedback).","Digital tools guide employees through real-time operational tasks using user-adaptive prompts, voice control, gesture recognition, and navigation; tailored to individual needs and work contexts.","Digital tools guide employees through real-time operational tasks using user-adaptive prompts, voice control, gesture recognition, and navigation; tailored to individual needs and work contexts.","Policies enforce prescriptive digital tools deployment, integrating inclusion and accessibility features directly into operational workflows to guide equitable task execution.","Policies enforce prescriptive digital tools deployment, integrating inclusion and accessibility features directly into operational workflows to guide equitable task execution."
Social,Diversity & inclusion,5,"Employees actively contribute to adaptive digital systems that learn from user input to continuously enhance accessibility. Customization becomes embedded and automated, supporting inclusive experiences at scale.","Employees actively contribute to adaptive digital systems that learn from user input to continuously enhance accessibility. Customization becomes embedded and automated, supporting inclusive experiences at scale.","AI-powered digital tools autonomously personalize task flows, content display, interaction modes, and user interfaces to fit each employee’s cognitive, sensory, or physical requirements; empowering full participation in all operational roles.","AI-powered digital tools autonomously personalize task flows, content display, interaction modes, and user interfaces to fit each employee’s cognitive, sensory, or physical requirements; empowering full participation in all operational roles.","Policies require adaptive digital tools embedded across workflows, with systems dynamically optimising accessibility and personalisation in real time, requiring human intervention only for exception management.","Policies require adaptive digital tools embedded across workflows, with systems dynamically optimising accessibility and personalisation in real time, requiring human intervention only for exception management."
Social,Training & skills,,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. "
Social,Training & skills,1,"Awareness campaigns introduce digital learning tools, but engagement is limited and informal.","Awareness campaigns introduce digital learning tools, but engagement is limited and informal.",Human-Machine Interfaces (HMI) and dashboards are used for static data display only. They provide limited or no support for learning or skill development during task execution.,Human-Machine Interfaces (HMI) and dashboards are used for static data display only. They provide limited or no support for learning or skill development during task execution.,"General training policies exist, but they are not linked to digital tools. Learning programs are static and not tailored to individual or operational needs.","General training policies exist, but they are not linked to digital tools. Learning programs are static and not tailored to individual or operational needs."
Social,Training & skills,2,Employees receive targeted training on how to use digital dashboards platforms for job-specific learning and real-time performance support.,Employees receive targeted training on how to use digital dashboards platforms for job-specific learning and real-time performance support.,"Digital trend logs and analytics are used to identify operator errors and uncover training gaps, informing reactive training interventions or procedural updates.","Digital trend logs and analytics are used to identify operator errors and uncover training gaps, informing reactive training interventions or procedural updates.","Policies require diagnostics of training gaps using digital platforms, identifying current competency levels and areas needing improvement across roles.","Policies require diagnostics of training gaps using digital platforms, identifying current competency levels and areas needing improvement across roles."
Social,Training & skills,3,"Staff interpret predictive alerts indicating skill gaps or upcoming training needs, and independently engage with simulations or tailored learning content.","Staff interpret predictive alerts indicating skill gaps or upcoming training needs, and independently engage with simulations or tailored learning content.","Predictive AR/HMI systems analyze upcoming tasks and operator profiles to forecast where task complexity or variation may require additional training, enabling proactive preparation.","Predictive AR/HMI systems analyze upcoming tasks and operator profiles to forecast where task complexity or variation may require additional training, enabling proactive preparation.","Policies require predictive modelling of workforce skills gaps, using data to forecast future learning needs and align training with evolving job requirements.","Policies require predictive modelling of workforce skills gaps, using data to forecast future learning needs and align training with evolving job requirements."
Social,Training & skills,4,"Employees collaborate with prescriptive digital training tools that recommend content, pathways, or skill-building activities based on role, performance, and development goals. Feedback loops refine the learning experience.","Employees collaborate with prescriptive digital training tools that recommend content, pathways, or skill-building activities based on role, performance, and development goals. Feedback loops refine the learning experience.","Digital overlays and contextual guidance systems (via AR or enhanced HMI) are deployed in real time, supporting hands-on learning through adaptive instructions, alerts, and reinforcement at the point of use.","Digital overlays and contextual guidance systems (via AR or enhanced HMI) are deployed in real time, supporting hands-on learning through adaptive instructions, alerts, and reinforcement at the point of use.","Policies mandate prescriptive training tools, delivering real-time, role-specific learning based on operational context and individual performance.","Policies mandate prescriptive training tools, delivering real-time, role-specific learning based on operational context and individual performance."
Social,Training & skills,5,"Employees participate in peer-learning communities supported by digital systems that dynamically personalise training journeys. The platform evolves through employee feedback, usage data, and operational needs.","Employees participate in peer-learning communities supported by digital systems that dynamically personalise training journeys. The platform evolves through employee feedback, usage data, and operational needs.","AI-driven AR bots and HMI systems autonomously personalize interfaces, learning modules, and feedback based on worker performance, learning styles, and needs, ensuring inclusive, just-in-time skill development across all roles and shifts.","AI-driven AR bots and HMI systems autonomously personalize interfaces, learning modules, and feedback based on worker performance, learning styles, and needs, ensuring inclusive, just-in-time skill development across all roles and shifts.","Policies require adaptive digital learning platforms, which autonomously deliver personalised and inclusive training pathways, continuously optimising content with minimal human intervention.","Policies require adaptive digital learning platforms, which autonomously deliver personalised and inclusive training pathways, continuously optimising content with minimal human intervention."
Social,Health & safety,,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. "
Social,Health & safety,1,"Awareness sessions introduce employees to common safety risks and the potential of basic digital tools (e.g., SPC, AR) to support safer work practices.","Awareness sessions introduce employees to common safety risks and the potential of basic digital tools (e.g., SPC, AR) to support safer work practices.","Basic SPC (Statistical Process Control) dashboards display process data such as temperature, pressure, or output rates, but provide limited insight into safety-specific conditions or risks.","Basic SPC (Statistical Process Control) dashboards display process data such as temperature, pressure, or output rates, but provide limited insight into safety-specific conditions or risks.","General OHS policies exist, but they are not linked to digital systems. Safety management relies on manual procedures and reactive reporting.","General OHS policies exist, but they are not linked to digital systems. Safety management relies on manual procedures and reactive reporting."
Social,Health & safety,2,Employees receive training on using diagnostic dashboards and AR overlays that highlight hazards and provide real-time safety guidance to prevent incidents.,Employees receive training on using diagnostic dashboards and AR overlays that highlight hazards and provide real-time safety guidance to prevent incidents.,"Digital systems analyze causes of unsafe patterns, such as excessive vibrations, worker overload, or entry into restricted zones. Safety responses are reactive and reliant on manual intervention.","Digital systems analyze causes of unsafe patterns, such as excessive vibrations, worker overload, or entry into restricted zones. Safety responses are reactive and reliant on manual intervention.","Policies require diagnostics of safety incidents and risks using digital tools, enabling visibility into unsafe conditions, near misses, and compliance gaps.","Policies require diagnostics of safety incidents and risks using digital tools, enabling visibility into unsafe conditions, near misses, and compliance gaps."
Social,Health & safety,3,"Staff interpret predictive safety alerts (e.g., fatigue risk, equipment hazards) and proactively adapt work routines or schedules to reduce risk.","Staff interpret predictive safety alerts (e.g., fatigue risk, equipment hazards) and proactively adapt work routines or schedules to reduce risk.","Predictive tools identify early warning signs of process drift, ergonomic stress, mental/physical overload, or environmental hazards. Risk alerts are generated to guide preemptive actions.","Predictive tools identify early warning signs of process drift, ergonomic stress, mental/physical overload, or environmental hazards. Risk alerts are generated to guide preemptive actions.","Policies mandate predictive systems for OHS risk forecasting, including models to anticipate incidents, monitor fatigue, and identify emerging hazards.","Policies mandate predictive systems for OHS risk forecasting, including models to anticipate incidents, monitor fatigue, and identify emerging hazards."
Social,Health & safety,4,"Employees work with prescriptive systems that recommend adjustments to workflows, task sequencing, or safety procedures based on real-time risk assessments and operational data.","Employees work with prescriptive systems that recommend adjustments to workflows, task sequencing, or safety procedures based on real-time risk assessments and operational data.","Systems automatically adjust task sequencing, pacing, or guidance in real time to prevent unsafe conditions. E.g., reducing manual workload, rerouting foot traffic, or triggering rest cycles.","Systems automatically adjust task sequencing, pacing, or guidance in real time to prevent unsafe conditions. E.g., reducing manual workload, rerouting foot traffic, or triggering rest cycles.","Policies enforce prescriptive systems that dynamically adjust task flows, safety zones, and work routines in real time to mitigate identified risks.","Policies enforce prescriptive systems that dynamically adjust task flows, safety zones, and work routines in real time to mitigate identified risks."
Social,Health & safety,5,"Employees actively contribute to digital safety platforms that learn from feedback, incidents, and near-misses. Systems continuously optimise alerts, guidance, and task flows to enhance safety performance across the organization.","Employees actively contribute to digital safety platforms that learn from feedback, incidents, and near-misses. Systems continuously optimise alerts, guidance, and task flows to enhance safety performance across the organization.","AI-driven systems continuously and autonomously manage workloads, task distribution, and hazard avoidance across operations; dynamically minimizing risk exposure without the need for operator input.","AI-driven systems continuously and autonomously manage workloads, task distribution, and hazard avoidance across operations; dynamically minimizing risk exposure without the need for operator input.","Policies require adaptive safety systems embedded into all operations, with autonomous platforms continuously optimising workplace safety conditions and requiring human oversight only for exceptions.","Policies require adaptive safety systems embedded into all operations, with autonomous platforms continuously optimising workplace safety conditions and requiring human oversight only for exceptions."
Social,Work-life balance,,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. "
Social,Work-life balance,1,"Basic remote collaboration tools are available (e.g., video conferencing, shared documents) but are inconsistently used. Flexible work options are informal and not digitally managed.","Basic remote collaboration tools are available (e.g., video conferencing, shared documents) but are inconsistently used. Flexible work options are informal and not digitally managed.",Tasks and workloads are tracked manually through MES reports or spreadsheets. There is limited insight into workload distribution or opportunities for remote/flexible task support.,Tasks and workloads are tracked manually through MES reports or spreadsheets. There is limited insight into workload distribution or opportunities for remote/flexible task support.,"General work-life balance policies exist, but they are not connected to digital systems. Monitoring of workload and well-being is manual and ad hoc.","General work-life balance policies exist, but they are not connected to digital systems. Monitoring of workload and well-being is manual and ad hoc."
Social,Work-life balance,2,"Teams use digital dashboards to identify inefficiencies in remote work models, such as uneven task distribution or excessive meeting loads, and begin optimizing team workflows.","Teams use digital dashboards to identify inefficiencies in remote work models, such as uneven task distribution or excessive meeting loads, and begin optimizing team workflows.","Dashboards and reports are used to analyze workload imbalances, identify signs of overwork, and assess on-site task concentration. Interventions are reactive and typically manager-driven.","Dashboards and reports are used to analyze workload imbalances, identify signs of overwork, and assess on-site task concentration. Interventions are reactive and typically manager-driven.","Policies require diagnostics of overwork and work-life balance risks, using digital tools to track working hours, task loads, and well-being indicators.","Policies require diagnostics of overwork and work-life balance risks, using digital tools to track working hours, task loads, and well-being indicators."
Social,Work-life balance,3,"Teams apply predictive simulations and Digital Twin models to forecast workload peaks, reduce unnecessary on-site presence, and support more balanced task allocation across locations.","Teams apply predictive simulations and Digital Twin models to forecast workload peaks, reduce unnecessary on-site presence, and support more balanced task allocation across locations.","Digital tools forecast workload peaks, identify recurring overwork patterns, and anticipate needs for on-site presence; supporting proactive workforce planning.","Digital tools forecast workload peaks, identify recurring overwork patterns, and anticipate needs for on-site presence; supporting proactive workforce planning.","Policies require predictive modelling of workload and site visit risks, enabling proactive planning to mitigate burnout and support individual well-being.","Policies require predictive modelling of workload and site visit risks, enabling proactive planning to mitigate burnout and support individual well-being."
Social,Work-life balance,4,"Teams work with prescriptive digital systems to implement flexible schedules, redistribute tasks, and formalize hybrid work models based on team capacity and preferences.","Teams work with prescriptive digital systems to implement flexible schedules, redistribute tasks, and formalize hybrid work models based on team capacity and preferences.","Systems recommend or enable task redistribution, paced scheduling, and remote execution options (e.g., remote inspections, digital collaboration) to support individual and team work-life balance.","Systems recommend or enable task redistribution, paced scheduling, and remote execution options (e.g., remote inspections, digital collaboration) to support individual and team work-life balance.","Policies mandate prescriptive systems to dynamically adjust work schedules, remote work options, and task balancing in response to real-time conditions.","Policies mandate prescriptive systems to dynamically adjust work schedules, remote work options, and task balancing in response to real-time conditions."
Social,Work-life balance,5,"Adaptive digital platforms automatically optimize collaboration and workload planning using real-time data on employee stress, availability, and well-being, creating a dynamic system that supports sustainable work-life balance.","Adaptive digital platforms automatically optimize collaboration and workload planning using real-time data on employee stress, availability, and well-being, creating a dynamic system that supports sustainable work-life balance.","AI-enabled systems autonomously balance workloads, adjust shift schedules, and manage remote work flows in real time; optimizing productivity while protecting personal time, recovery, and flexibility across roles and sites.","AI-enabled systems autonomously balance workloads, adjust shift schedules, and manage remote work flows in real time; optimizing productivity while protecting personal time, recovery, and flexibility across roles and sites.","Policies require adaptive digital systems that autonomously manage workload distribution, remote work scheduling, and task flows, with minimal human intervention and exception-based oversight.","Policies require adaptive digital systems that autonomously manage workload distribution, remote work scheduling, and task flows, with minimal human intervention and exception-based oversight."
Governance,Ethical culture & behavior,,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ","Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ","Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ","Within the policy dimension (equipment & production), what is your goal for your digital ethical culture & behavior integration? Please click on the description that best fits your company's future desired situation. "
Governance,Ethical culture & behavior,1,"Awareness sessions introduce employees to ethical reporting channels via MES, HMI dashboards, or other digital systems. Participation is minimal and mostly reactive.","Awareness sessions introduce employees to ethical reporting channels via MES, HMI dashboards, or other digital systems. Participation is minimal and mostly reactive.","Basic MES or HMI interfaces provide manual input channels for incident or ethics-related reporting. Reporting is often underused, with limited visibility or follow-up.","Basic MES or HMI interfaces provide manual input channels for incident or ethics-related reporting. Reporting is often underused, with limited visibility or follow-up.","General ethics reporting policies exist, but they are not linked to digital systems. Reporting is manual, reactive, and often lacks visibility or follow-up.","General ethics reporting policies exist, but they are not linked to digital systems. Reporting is manual, reactive, and often lacks visibility or follow-up."
Governance,Ethical culture & behavior,2,"Employees receive targeted training on how to identify misconduct, unsafe behaviors, or ethical concerns and report them through structured digital tools.","Employees receive targeted training on how to identify misconduct, unsafe behaviors, or ethical concerns and report them through structured digital tools.","Systems log reported events and visualize trends, enabling diagnostic analysis of root causes and recurrence patterns related to misconduct, safety breaches, or ethical lapses.","Systems log reported events and visualize trends, enabling diagnostic analysis of root causes and recurrence patterns related to misconduct, safety breaches, or ethical lapses.",Policies require all incident data to be logged and visualised through digital platforms such as MES (Manufacturing Execution Systems) and HMI (Human-Machine Interface) dashboards to ensure transparency and accountability.,Policies require all incident data to be logged and visualised through digital platforms such as MES (Manufacturing Execution Systems) and HMI (Human-Machine Interface) dashboards to ensure transparency and accountability.
Governance,Ethical culture & behavior,3,"Staff are able to interpret predictive system alerts that flag recurring ethical or safety risks. They participate in resolution efforts, such as ethics committees or improvement teams.","Staff are able to interpret predictive system alerts that flag recurring ethical or safety risks. They participate in resolution efforts, such as ethics committees or improvement teams.","Predictive analytics identify hotspots for potential ethical risks based on behavioral trends, absenteeism, prior incidents, and environmental or task-related factors.","Predictive analytics identify hotspots for potential ethical risks based on behavioral trends, absenteeism, prior incidents, and environmental or task-related factors.","Policies mandate predictive analytics on ethics trends, enabling pre-emptive interventions by identifying patterns in behaviour, reporting frequency, and risk areas.","Policies mandate predictive analytics on ethics trends, enabling pre-emptive interventions by identifying patterns in behaviour, reporting frequency, and risk areas."
Governance,Ethical culture & behavior,4,Employees collaborate with prescriptive digital tools that provide structured guidance and escalation paths for ethical decision-making and risk mitigation.,Employees collaborate with prescriptive digital tools that provide structured guidance and escalation paths for ethical decision-making and risk mitigation.,"Systems recommend process changes, task redistribution, or shift pattern adjustments to reduce exposure to unsafe or unethical conditions and promote positive workplace culture.","Systems recommend process changes, task redistribution, or shift pattern adjustments to reduce exposure to unsafe or unethical conditions and promote positive workplace culture.","Policies enforce prescriptive digital decision-support systems, guiding real-time escalation, response, and corrective actions based on ethical risk parameters.","Policies enforce prescriptive digital decision-support systems, guiding real-time escalation, response, and corrective actions based on ethical risk parameters."
Governance,Ethical culture & behavior,5,"Employees engage in adaptive, peer-driven communities of practice focused on ethics. Supported by anonymized digital reporting platforms and AI-assisted coaching, these systems evolve to foster a strong, self-sustaining ethical culture.","Employees engage in adaptive, peer-driven communities of practice focused on ethics. Supported by anonymized digital reporting platforms and AI-assisted coaching, these systems evolve to foster a strong, self-sustaining ethical culture.","Autonomous systems monitor workflows in real time, detect potential unethical behavior, adjust operational flows accordingly, and trigger alerts or escalation protocols; ensuring rapid, anonymous, and protected reporting and intervention.","Autonomous systems monitor workflows in real time, detect potential unethical behavior, adjust operational flows accordingly, and trigger alerts or escalation protocols; ensuring rapid, anonymous, and protected reporting and intervention.","Policies require fully autonomous digital systems to manage and escalate ethical risks, maintaining anonymity, enabling continuous monitoring, and fostering a proactive, values-driven culture with minimal human involvement.","Policies require fully autonomous digital systems to manage and escalate ethical risks, maintaining anonymity, enabling continuous monitoring, and fostering a proactive, values-driven culture with minimal human involvement."
